"","new_window","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","var_roll_belt","avg_pitch_belt","var_pitch_belt","avg_yaw_belt","var_yaw_belt","var_accel_arm","avg_roll_arm","var_roll_arm","avg_pitch_arm","var_pitch_arm","avg_yaw_arm","var_yaw_arm","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","var_yaw_dumbbell","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","var_roll_forearm","avg_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","var_yaw_forearm","classe"
"4734","yes",-1.003159,-0.686349,NA,-0.281535,-1.159628,NA,2.2,18,-1,-0.2,17,-1,2.36,1,0,0.2,119.4,0.2,15.7,0.2,1.2,0.51,34.3654,-38.3085,32.4873,20.4338,133.7648,-86.7426,243.5742,-0.18525,-0.60389,0.3598,-0.99892,0.78073,-1.17864,31.6,-52,32,-7.5,-104,10,39.06,52,22,0.2211,-0.2079,NA,-0.4294,-0.7283,NA,16.5,152.8,0.2,-58.8,87.4,0.2,75.22,65.4,0,6,0.5264,2.1205,713.9746,-14.9018,292.5085,126.5373,307.8774,-1.2361,0.6192,NA,0.1624,1.6,NA,24,179,-1.2,14.5,-180,-1.2,9.5,359,0,43,34.06198,-35.58936,45.49793,19.21064,9.9301,-99.21277,18753.56244,"A"
"4752","yes",0.318906,0.411756,NA,-0.01402,-0.801155,NA,2,19,0.3,0.7,17,0.3,1.36,2,0,0.2,119.1,0.6,15.9,0,1.3,0.1,37.4966,-32.5918,23.4228,-6.4422,332.7496,-43.5678,646.0601,-1.16118,-1.10268,-1.2695,-0.05049,0.00708,0.2875,23.9,1.6,26,-37.1,-87.4,6,61,88.99,20,-0.3236,1.3024,NA,0.2081,-1.2196,NA,0,152.5,-0.3,-31.6,90,-0.3,31.56,62.51,0,3,0.5408,-6.1284,552.277,-15.6102,52.0113,130.8789,200.2324,-0.2929,-1.0507,NA,-0.8884,-0.5734,NA,26.8,-69.8,-0.3,0.6,-158,-0.3,26.17,88.2,0,9,113.57993,-0.97204,392.7122,18.63429,57.91143,-102.78776,784.87401,"A"
"4773","yes",-1.398383,-0.673035,NA,-0.244984,0.331184,NA,3,19,-1.4,1.2,17,-1.4,1.76,2,0,0.3,118.9,0.4,15.9,0.1,2.3,0.32,63.0305,-44.339,86.4819,-31.7073,72.6162,-7.7415,319.608,0.54919,-1.11252,-1.57905,1.29881,-0.58614,-0.27302,-9.7,11.5,27,-38.9,-42.4,5,29.2,53.9,22,0.3122,-1.2749,NA,1.0643,-0.1598,NA,127.9,151.4,0.3,-42.1,-10.5,0.3,169.99,161.93,0,1,0.6488,30.766,4224.8508,10.6088,2013.9395,76.0004,2468.734,-1.3148,-1.0726,NA,0.423,-0.5267,NA,29.6,-68.1,-1.3,-3,-121,-1.3,32.59,52.9,0,25,17.8939,22.37951,77.22369,9.03415,119.09713,-87.23171,294.70372,"A"
"4791","yes",-1.07467,2.892475,NA,-0.555237,0.283325,NA,1.8,18,-1.1,0.9,16,-1.1,0.88,2,0,0.2,117,0.1,16.1,0.1,1.4,0.08,47.7484,-33.3386,29.1327,18.0016,165.7543,-76.1955,291.2656,-1.02783,-1.21113,-1.01159,-0.51455,0.36315,-0.61583,32.7,-44.1,29,-7.9,-96.6,8,40.55,52.5,21,0.5361,0.1073,NA,-0.0172,-0.3591,NA,31.2,148,0.5,-55,69.9,0.5,86.12,78.11,0,4,0.7881,23.6738,1007.1169,-11.7712,350.8407,114.6137,269.7435,-1.2291,-0.9675,NA,-0.5611,0.2188,NA,33.4,-123,-1.2,20.5,-178,-1.2,12.9,55,0,50,50.98679,-29.74932,225.16215,28.70682,21.86856,-154.79545,275.23626,"A"
"4811","yes",-1.659796,-0.686349,NA,-0.064834,1.159628,NA,2.2,18,-1.7,0.3,17,-1.7,1.93,1,0,0.2,117.3,0.2,15.9,0.1,1.3,0.48,60.679,-24.9106,54.4797,-1.4989,442.9326,-49.8955,799.9781,-1.12837,-1.28154,-1.22048,0.00494,0.07286,0.24187,31.7,-0.8,29,-37.6,-93.4,5,69.3,92.65,24,1.8078,0.6535,NA,0.7967,-1.063,NA,16.2,149.7,1.8,-29,103,1.8,45.21,46.73,0,4,0.4311,-1.9387,414.9705,-11.4834,70.2898,134.905,129.3823,-1.1273,-1.3736,NA,-0.4576,0.1469,NA,33.5,-79.4,-1.1,21.4,-177,-1.1,12.1,97.6,0,21,72.99907,-22.55277,443.09046,28.78298,14.74362,-132.38936,1046.11141,"A"
"4858","yes",-0.021024,-0.205309,NA,1.182742,-0.505133,NA,2.1,19,0,0.5,17,0,1.6,2,0,0.2,118.9,0.1,16.2,0,0.9,0.23,58.5891,-29.095,35.1559,16.6253,186.7096,-73.1425,268.5876,-0.92821,-1.20814,-0.79076,-0.44128,0.04479,-0.57972,34.6,-44.6,30,-11.3,-98,5,45.9,53.4,25,-0.1112,-0.585,NA,0.6108,-0.6292,NA,66.1,147.4,-0.1,-45.8,-20,-0.1,111.93,167.42,0,4,0.5635,34.7164,4105.8655,0.5906,793.2219,82.0156,2117.1838,-0.6262,-1.3263,NA,-0.6637,0.2023,NA,37.2,-92.2,-0.6,22.3,-171,-0.6,14.9,78.8,0,48,108.7891,-17.1435,472.48678,32.1075,17.86584,-134.815,604.48131,"A"
"4964","yes",NA,-2.015633,NA,NA,-0.272071,NA,172,18,NA,172,17,NA,0,1,NA,0.3,122,0,-43.5,0,172,0,34.499,43.2348,68.8352,27.3891,589.9567,6.7522,59.6458,-1.1322,-0.70897,-1.28006,-0.29386,0.12008,0.22533,63.2,22.2,24,-17.4,-8.7,4,80.6,30.94,20,1.2229,0.571,NA,-0.5832,-0.0166,NA,-23.8,-82.1,1.2,-41.5,-96.8,1.2,17.72,14.75,0,16,0.6768,57.8528,21.1325,-30.5804,13.2065,-89.4929,8.8023,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,45,8.58019,0,0,0,0,0,0,"A"
"5033","yes",-1.266169,-1.984189,NA,-0.255009,-0.296682,NA,174,18,-1.3,172,17,-1.3,2,1,0,0.2,122,0,-44.4,0.1,173.1,0.6,75.6714,33.8875,29.3626,-9.968,528.124,-15.5445,88.1373,-0.61218,-1.83589,-1.68205,0.79643,0.06763,-0.20748,40.4,-3.9,28,-35.3,-26.4,4,75.7,22.49,24,-0.444,-0.2962,NA,-0.4912,-0.4037,NA,-20.4,-88.2,-0.4,-38.1,-102.4,-0.4,17.64,14.16,0,18,1.6974,54.7649,18.2982,-27.9205,19.0261,-93.8617,10.4162,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,49,6.76753,0,0,0,0,0,0,"A"
"5065","yes",5.681869,6.235912,NA,-1.581427,-2.816699,NA,1.3,18,5.7,-1.4,17,5.7,2.61,1,0,0.1,119.3,0.2,16.3,0,0.6,0.13,19.2692,-48.6175,53.0292,-40.355,4.8369,4.0113,87.7021,21.45558,0.09028,-0.48879,4.15709,-0.75552,-0.65607,-16.7,15.7,26,-43.1,-26.4,9,26.4,42.1,17,0.8547,-0.2408,NA,-0.6971,0.5185,NA,-6,137.6,0.9,-49.8,81.1,0.9,43.75,56.42,0,2,1.8917,-35.4948,1014.1501,-22.2855,88.4938,104.5173,177.1066,1.988,1.0656,NA,1.2817,-1.4313,NA,31.5,-61.5,2,-0.4,-81.9,2,31.91,20.4,0,16,14.14808,33.9525,2.45384,6.52025,35.64946,-65.9725,25.5282,"A"
"5095","yes",-1.247113,13.461947,NA,0.28013,-3.864606,NA,-0.4,18,-1.2,-1.2,17,-1.2,0.82,1,0,0.1,118.9,0.1,17.3,0,-0.8,0.07,57.1396,-54.0725,64.6016,-19.5849,126.0174,-29.7543,1014.4992,-1.57699,-1.16474,-1.30977,0.2905,-0.50949,-0.41809,-1,5.8,27,-31.6,-91.5,4,30.57,97.31,23,-0.208,-0.7814,NA,0.759,-0.6015,NA,61.5,150.1,-0.2,-46.1,0,-0.2,107.68,150.1,0,3,0.7396,53.9548,1585.6098,1.2172,730.0849,90.504,1740.3232,-1.5114,-1.1164,NA,0.4063,-0.6374,NA,22.9,-71.6,-1.5,-0.2,-134,-1.5,23.07,62.4,0,32,35.72314,15.11569,67.73844,9.57686,70.08519,-92.80196,442.867,"A"
"5139","yes",-1.498947,-2.06798,NA,0.416939,-0.121453,NA,-11.4,18,-1.5,-13.5,17,-1.5,2.1,1,0,0.3,113.8,0.8,21.6,0.2,-12.6,0.6,5.5365,-85.0255,146.0199,-60.2941,20.0142,-74.4431,101.2933,0.79028,-0.69254,-0.34107,1.40293,0.88986,-0.98134,-48.2,-52.8,32,-64.3,-83.1,25,16.1,30.3,7,0.819,2.0497,NA,-0.4132,-1.2829,NA,19.5,127.5,0.8,-81.3,0,0.8,100.8,127.54,0,5,1.7271,-58.1668,784.6664,-25.3591,426.222,86.7552,714.0816,-1.2094,-0.3453,NA,-0.2272,-0.0816,NA,12.8,-104,-1.2,9,-106,-1.2,3.82,2,0,20,0.89961,13.71373,1.74241,10.92392,1.19286,-104.76471,0.34353,"A"
"5156","yes",0.063266,NA,NA,0.727976,NA,NA,-15.3,17,0.1,-17,17,0.1,1.7,0,0,0,109.4,0.2,25.3,0.1,-16.3,0.2,0.2462,-144.725,27.8455,-72.8,0.0974,8.3018,45.2285,1.68678,-0.60274,-1.91856,1.40036,0.59853,0.42433,-71.9,22.7,32,-73.1,-1.2,31,1.2,23.85,1,0.6669,2.1536,NA,-0.6864,1.3722,NA,5.7,63,0.7,-68.7,11.1,0.7,74.34,51.8,0,4,0.2949,-117.0223,285.316,-24.5131,276.8628,27.8598,140.4614,-0.4816,-0.6907,NA,-0.6364,-0.5571,NA,-3.6,-81.9,-0.5,-7.8,-88.8,-0.5,4.16,6.9,0,2,0.66603,-4.41475,0.96539,-5.1875,1.61937,-84.1975,3.73666,"A"
"5226","yes",3.460297,NA,NA,-0.600757,NA,NA,-88,5,3.5,-88.2,5,3.5,0.2,0,0,0,0.5,0,5.2,0,-88.1,0,0.0664,0,0,0,0,0,0,NA,NA,10.75524,NA,NA,-3.50095,0,0,38,0,0,37,0,0,1,0.8017,0.1199,NA,0.5802,-0.105,NA,-47.9,-73.7,0.8,-51,-80.4,0.8,3.12,6.72,0,30,0.1141,56.5437,3.8237,-49.8252,0.4096,-76.9763,2.258,-0.4714,-1.2195,NA,0.4489,-0.1565,NA,-52.9,171,-0.5,-56.2,163,-0.5,3.3,8,0,33,3.97564,52.19767,0.54833,-54.60233,0.67976,167.32558,6.84385,"A"
"5265","yes",-0.751481,8.95396,NA,0.646926,-1.323381,NA,-87.6,4,-0.8,-87.8,2,-0.8,0.2,2,0,0.1,1.5,0.1,4.2,0.5,-87.7,0.01,76.1313,82.1067,378.9534,-19.4329,522.6951,36.1991,2987.8724,-1.43667,-1.34192,-0.15193,0.43842,-0.32791,0.55053,18.9,107,46,-44.5,-55,12,63.4,162,34,-1.0469,2.5171,NA,0.3632,-0.5174,NA,95.5,110.7,-1,-98,-61.5,-1,193.52,172.26,0,5,1.2404,-25.9617,8767.4499,-2.1914,2266.9711,32.3939,861.7137,-1.1427,0.0858,NA,-0.3276,0.9655,NA,6.3,48.3,-1.1,-20.9,-54,-1.1,27.21,102.3,0,26,12.24545,-157.57778,2656.3404,-5.13867,76.68322,-22.51156,805.63086,"A"
"5339","yes",5.178817,NA,NA,-2.638198,NA,NA,-87.7,3,5.2,-87.8,3,5.2,0.1,0,0,0,1,0,4.7,0,-87.7,0,22.4218,58.4745,18.8389,-8.3783,628.1657,35.51,744.9315,-1.38943,-1.12282,-1.01473,-0.20774,-0.21112,0.33023,25.9,76.9,31,-50.3,-15.9,15,76.2,92.8,16,0.1618,0.0774,NA,-0.8673,-0.174,NA,92.1,144,0.2,-114.7,-93,0.2,206.81,237.03,0,2,2.5837,35.6425,5753.7809,20.9391,2431.3754,30.209,3101.7171,0.4919,-1.5134,NA,1.0848,0.0627,NA,5.3,118,0.5,-37.5,-22.1,0.5,42.82,140.1,0,36,18.9889,0.59574,24126.68085,-25.68,135.04668,45.52447,2309.8385,"A"
"5389","yes",-0.993607,-2.069876,NA,0.116288,-0.073457,NA,-87.4,4,-1,-87.7,3,-1,0.3,1,0,0.3,1.2,0.1,5.5,0.4,-87.6,0.01,4.8247,79.6875,66.032,42.8214,31.8981,87.1518,90.3549,1.09724,-1.23878,0.18682,-1.56241,-0.63255,-1.29147,47.2,96.4,31,27.6,70.3,24,19.6,26.1,7,54.9979,55.6279,NA,-7.3844,-7.4466,NA,-56.2,98.8,55,-82,57.2,55,25.85,41.65,0,39,6.4766,14.4209,15.0291,-57.2589,11.4454,97.4398,30.1211,40.0597,33.6263,NA,5.8557,-5.2411,NA,-0.1,84.9,40.1,-72.5,0.3,40.1,72.36,84.56,0,36,97.74416,-134.42,362.74531,-65.51857,92.63982,76.25071,135.45865,"A"
"5413","yes",2.35872,8.025296,NA,0.665236,3.11326,NA,-87.5,4,2.4,-87.7,3,2.4,0.2,1,0,0.1,1.2,0,5.8,0,-87.6,0,3.0355,59.1271,9.4952,25.0854,0.6608,56.4708,63.7783,-0.90301,-1.50779,-0.04626,0.63313,0.16891,0.01493,26.7,69.7,21,24,45.9,13,2.7,23.8,8,-0.6976,-0.2561,NA,0.0371,-0.1105,NA,-56.4,98.7,-0.7,-57.4,97.6,-0.7,1,1.15,0,39,0.0208,13.5701,0.0896,-56.9007,0.0605,98.1799,0.0666,-1.3686,1.248,NA,0.1868,0.3115,NA,-63.3,77.3,-1.4,-67,64.2,-1.4,3.7,13.1,0,38,3.22695,-130.91667,7.78014,-65.4625,1.33303,68.88125,6.94028,"A"
"5437","yes",-1.540822,NA,NA,0.497333,NA,NA,-87.4,3,-1.5,-87.6,3,-1.5,0.2,0,0,0,1.3,0,5.6,0,-87.5,0.01,8.7782,47.6119,14.8508,16.0831,14.3831,47.5262,71.1293,0.31221,-0.17063,-1.03806,0.35325,1.02319,0.03094,24.5,67.1,21,8.6,38.7,10,15.95,28.4,11,-0.7164,-0.5457,NA,0.0343,-0.2031,NA,-56.5,98.5,-0.7,-57.9,97.2,-0.7,1.44,1.27,0,39,0.1423,13.5713,0.1343,-57.1809,0.1471,97.9035,0.1198,-0.4246,2.2046,NA,0.9938,-1.2147,NA,-58.6,69,-0.4,-63.6,63.1,-0.4,5,5.9,0,36,0.12544,-131.38095,1.26597,-62.01429,2.45979,67.29286,1.49922,"A"
"5479","yes",-1.415856,-1.598441,NA,-0.150411,-0.694312,NA,-3.7,20,-1.4,-5.2,19,-1.4,1.47,1,0,0.2305,123.0976,0.4402,26.0512,0.0411,-4.4361,0.2351,89.6256,-52.6337,849.0816,42.6268,61.601,-82.2927,1305.2952,0.52434,-1.43983,-1.10736,-1.18239,0.14601,0.15499,50.4,-24.8,40,22.4,-132,8,28,107.2,32,-0.0962,1.0059,NA,0.3951,-1.0147,NA,48.3,137.9,-0.1,18.9,99.9,-0.1,29.48,37.99,0,9,0.2902,4.8213,117.9204,32.3264,51.2348,122.8418,80.2176,-0.9706,-1.3103,NA,-0.4808,-0.718,NA,70.6,175,-1,16.1,-174,-1,54.5,349,0,38,16.35976,35.21951,16881.52561,48.82439,286.21239,29.06585,14050.3788,"A"
"5547","yes",0.005503,3.12152,NA,0.280372,-2.237207,NA,-1.8,20,0,-2.3,19,0,0.53,1,0,0.1168,124,0,26.0019,0.0033,-2.093,0.0153,35.4637,86.7113,189.9799,-36.2887,39.9645,126.9547,609.4994,-1.48296,0.62233,-0.36866,0.04465,-1.24557,0.85017,-27.3,151,25,-46.9,61.6,4,19.6,89.4,21,0.685,-0.2132,NA,0.0062,-0.228,NA,48.9,135.9,0.7,2.3,107.9,0.7,46.67,27.95,0,10,1.254,-12.549,127.9818,27.1976,70.4125,124.399,35.8316,-0.7896,7.7581,NA,0.7429,2.5226,NA,83.5,130,-0.8,4.6,101,-0.8,78.89,29,0,26,7.83164,89.89057,11.21779,30.44453,628.65808,105.33962,31.65167,"A"
"5549","yes",NA,NA,NA,-0.670284,NA,NA,1.8,21,NA,1.7,21,NA,0.13,0,NA,0,129,0,28.6,0,1.74,0.0043,0,-166.6667,0.3333,-9.7867,2e-04,152,0,NA,NA,NA,0.93522,NA,NA,-9.8,152,25,-9.8,152,25,0.03,0,0,NA,NA,NA,1.5574,1.7259,NA,-50.2,55.8,NA,-71.2,39.1,NA,21,16.7,NA,4,0,-74.2531,9.1495,-63.1127,127.1256,44.8672,90.1159,NA,NA,NA,-1.2933,NA,NA,-1.8,108,NA,-1.9,108,NA,0.04,0,NA,34,0,83.4,0,-1.84667,0.00043,108,0,"A"
"5639","yes",-1.38239,-0.407966,NA,0.003969,0.13432,NA,-0.2,21,-1.4,-1.5,18,-1.4,1.39,3,0,0.3,124.3,0.2,26.5,0.1,-0.8,0.21,129.6889,-51.6362,2702.4141,-38.1158,384.7337,-71.0607,4143.1794,-1.35815,-1.48802,-1.07274,0.0825,0.4737,0.02356,-6.9,33.3,45,-66.2,-138,5,59.29,171.3,40,-0.0292,0.9188,NA,0.4708,-0.599,NA,49.7,139.4,0,13.4,104.7,0,36.22,34.63,0,9,0.4162,-5.4465,151.2061,28.0027,63.172,125.7239,50.1832,-0.3084,-0.0918,NA,1.0037,0.912,NA,54,111,-0.3,14.1,81,-0.3,39.9,30,0,37,4.91616,116.62222,7.51313,25.51556,150.67634,89.24889,64.37983,"B"
"5714","yes",0.061886,2.60078,NA,-1.18336,-0.482753,NA,-4.6,21,0.1,-7.3,19,0.1,2.69,2,0,0.2,122.6,0.4,26.9,0,-5.4,0.69,22.1967,44.9892,19.8288,-29.7595,123.8486,-16.6486,31344.5676,0.12756,-2.08351,-0.12096,-1.04263,0.17161,0.93573,-19.3,180,21,-58.2,-180,5,38.9,360,16,0.0775,-0.6944,NA,0.6718,-0.5854,NA,56.5,137.8,0.1,2,87.7,0.1,54.53,50.16,0,11,0.7102,-18.3092,628.7844,23.5065,207.6842,117.7742,199.0907,-1.621,0.6261,NA,0.0999,-1.5234,NA,57.6,175,-1.6,7.3,-178,-1.6,50.34,353,0,22,27.92192,115.08108,5277.24324,31.8327,360.40942,69.62703,12758.60314,"B"
"5739","yes",1.808692,-0.208121,NA,-1.344995,-0.04606,NA,-4,21,1.8,-6.1,18,1.8,2.14,3,0,0.4,122.1,0.6,26.5,0.1,-4.6,0.25,88.0044,-29.5509,26232.2079,-29.0523,808.7941,36.1149,1433.3702,-1.2492,2.27297,-0.47927,0.059,1.65278,0.38277,16.3,152,57,-73.7,0.3,22,90,151.71,35,-0.8439,-1.2509,NA,0.0628,0.3157,NA,16.7,98.8,-0.8,-56.9,24.7,-0.8,73.62,74.08,0,9,1.3929,-87.9793,264.2559,-19.8841,374.989,60.4467,490.0238,-0.666,-1.7949,NA,-0.2277,0.183,NA,71.3,165,-0.7,2.1,-175,-0.7,69.19,340,0,38,43.24123,-18.14035,18600.37281,39.70158,350.64373,-13.03158,11512.68934,"B"
"5832","yes",-0.705695,0.427409,NA,0.194238,0.869135,NA,-3.3,21,-0.7,-5.5,18,-0.7,2.12,3,0,0.6,121.7,0.9,26.5,0.1,-4.5,0.37,165.9475,127.7443,322.8532,0.6516,555.161,31.0944,3741.9041,-1.80895,-1.32737,-0.91636,-0.00696,0.35797,-0.12451,30.1,134,53,-28.5,-46.6,7,58.6,180.6,46,-0.8551,-1.2896,NA,-0.6072,-0.2827,NA,46.9,137,-0.9,-61.6,23.5,-0.9,108.53,113.58,0,14,5.1798,-58.5801,1094.076,-3.1297,759.2873,87.8452,1272.3938,-0.721,-1.8672,NA,-0.4243,0.173,NA,66.3,176,-0.7,20.4,-178,-0.7,45.9,354,0,31,78.32787,25,21190,47.71803,151.5655,-6.10984,17786.79057,"B"
"5864","yes",-0.530943,1.114119,NA,-0.904813,-1.200976,NA,-3.2,21,-0.5,-6.8,18,-0.5,3.59,3,0,0.5,122.5,0.5,26,0.6,-4.4,1.29,74.0071,140.7188,25.1764,6.5491,111.9185,42.5269,1731.9712,-1.63284,-1.28813,-1.16351,0.16574,-0.17734,0.28679,21.7,103,42,-6.7,-28.2,13,28.4,131.2,29,-0.5018,0.4887,NA,-0.7447,0.7136,NA,-23.2,63.5,-0.5,-94,8.2,-0.5,70.79,55.3,0,15,3.1613,-97.864,367.3635,-47.6978,400.351,28.5225,170.0248,0.0484,0.1637,NA,1.0531,0.7728,NA,30.7,109,0,-13.4,80.9,0,44.1,28.1,0,37,11.22177,128.15625,34.71673,-0.84531,165.82635,90.38125,51.87835,"B"
"5922","yes",-1.269135,-0.108371,NA,-0.679299,0.157663,NA,-3.4,21,-1.3,-10.5,17,-1.3,7.08,4,0,0.7,120.5,1.6,26.4,0.8,-6,6.69,253.01,130.2281,48.5721,11.3918,102.2165,40.8342,4014.7169,-1.51198,-1.48144,-1.30236,-0.32395,-0.14513,0.24329,23.3,127,54,-4.7,-53,4,27.98,180,50,-0.7205,-0.446,NA,0.7374,0.6202,NA,21.2,109.1,-0.7,-62.4,10.1,-0.7,83.68,99.02,0,12,1.5739,-89.0308,214.2275,-30.7784,618.1508,49.5862,651.4714,0.1675,0.0541,NA,1.0538,0.9567,NA,61.3,154,0.2,-10.2,78.4,0.2,71.5,75.6,0,39,23.1485,131.36842,41.84398,9.51474,397.29205,100.45614,372.81393,"B"
"5935","yes",2.092345,-0.137772,NA,-1.648813,0.417859,NA,-4.1,21,2.1,-8.8,18,2.1,4.76,3,0,0.5,121.8,0.8,25.8,0.1,-5.3,1.42,91.8361,116.7209,3.3965,3.046,44.3864,74.1137,2782.2836,-1.34874,-1.14421,-1.22207,0.38807,-0.53018,-0.10593,13.7,130,35,-4.9,-28.5,4,18.6,158.5,31,0.1835,0.8037,NA,-0.1135,-0.8607,NA,65.1,150.8,0.2,-30,21.9,0.2,95.14,128.91,0,10,2.7774,-36.2428,1369.1392,16.6933,455.8617,104.1269,778.2686,-0.5568,0.5635,NA,0.2602,1.4717,NA,65.2,177,-0.6,27.3,-177,-0.6,37.9,354,0,16,79.44408,-22.48837,25977.58915,46.22558,96.95052,-68.05116,12936.5878,"B"
"5959","yes",-1.45135,-0.532634,NA,-0.302839,0.142815,NA,-4.9,21,-1.5,-9.4,18,-1.5,4.49,3,0,0.7,121.6,1.2,27,0.5,-6.9,2.51,56.8659,124.5106,76.2553,9.7394,41.3945,99.3532,1074.1943,-1.66534,0.29391,-1.20662,0.25571,-1.23051,0.54151,18.8,127,27,2.5,16.2,3,16.32,110.8,24,0.3609,-1.1763,NA,0.9551,0.1717,NA,80.4,136.9,0.4,-52.8,23,0.4,133.23,113.94,0,10,6.3959,-68.9105,1363.2585,-8.066,1165.5853,72.1396,1186.1927,0.1567,-1.5831,NA,-1.0483,0.5437,NA,57,178,0.2,5.3,-174,0.2,51.71,352,0,19,101.33117,5.85106,25299.56429,39.77787,198.99302,-25.04894,15849.4456,"B"
"6038","yes",-1.09689,-1.851307,NA,-0.107782,0.475418,NA,-88.7,3,-1.1,-89.1,2,-1.1,0.4,1,0,0.1,1.5,0.1,3.4,0.3,-88.9,0.02,13.0227,94.1848,150.0776,-18.5215,207.8088,38.8464,908.5931,-0.75971,-1.53916,-0.7755,0.81698,-0.04934,0.77287,5.6,81.5,48,-38.2,-51.5,19,43.77,133,29,-1.2793,-0.0872,NA,-0.4453,0.31,NA,105.4,154.2,-1.3,-45.1,-21.1,-1.3,150.54,175.32,0,25,21.1326,31.3375,20.3625,79.7193,692.8526,65.926,634.19,4.3514,0.1412,NA,-1.4133,-1.1923,NA,21.5,110,4.4,15.5,24.5,4.4,6,85.5,0,35,1.92614,177.12121,1.10985,19.63333,0.36729,103.51212,33.00172,"B"
"6066","yes",-1.272977,-0.726999,NA,0.425377,-0.063162,NA,-88.2,3,-1.3,-88.7,1,-1.3,0.5,2,0,0.3,1.5,0.2,2.2,0.2,-88.5,0.02,19.6753,82.7577,4.6115,4.2723,95.8013,93.5481,518.0422,0.47087,-0.44586,-0.27868,-1.28438,-0.95026,-1.00168,12.1,114,32,-21.5,40.7,17,33.6,73.3,15,0.794,0.7559,NA,-1.4084,1.3799,NA,101,126.9,0.8,21.8,41.2,0.8,79.25,85.67,0,21,21.8582,33.6457,21.6892,82.2125,498.3533,62.3152,536.9901,1.2306,0.8729,NA,-1.5397,-1.4067,NA,25.8,111,1.2,8,-8,1.2,17.84,119.01,0,34,11.04525,-36,29728.78431,21.87346,24.86354,85.39577,1161.2764,"B"
"6118","yes",-0.220867,-2.056566,NA,-0.040992,-0.165522,NA,-88.9,3,-0.2,-89.2,2,-0.2,0.3,1,0,0.3,1.5,0.1,4,0.1,-89.1,0,0.1506,86.836,0.1832,12.004,0.1645,116,0.5714,-1.22683,-1.21476,0.98887,-0.47191,0,-1.71782,12.5,117,32,11.2,115,31,1.3,2,1,-0.1923,-1.5188,NA,0.6888,0.2861,NA,75,154.8,-0.2,-53.2,-64.5,-0.2,128.22,219.3,0,16,17.3404,-62.0814,4442.3857,-4.0135,1068.2498,28.158,5113.5417,-0.7315,-1.2502,NA,-0.4853,-0.4609,NA,28.8,110,-0.7,11.1,-62.2,-0.7,17.7,172.2,0,37,35.34245,-9.96,30082.93714,22.538,25.10404,46.988,3384.79949,"B"
"6145","yes",-0.454973,3.139371,NA,-0.359078,1.005522,NA,-88.2,4,-0.5,-88.9,1,-0.5,0.7,3,0,0.3,1.6,0.2,3.1,0.2,-88.5,0.03,8.519,84.6319,7.6583,9.1436,14.5889,110.7745,47.3015,2.80152,2.02943,1.16696,-1.946,-1.69901,-1.52916,11.6,116,32,-3.1,89.5,22,14.68,26.5,10,0.0612,1.4431,NA,-0.8199,1.308,NA,106.1,72.3,0.1,73.2,41.4,0.1,32.97,30.9,0,18,6.593,35.5596,22.0973,93.9297,63.0128,49.3946,51.9165,-1.7211,-1.4544,NA,0.2504,0.0569,NA,20.4,106,-1.7,4.8,-123,-1.7,15.57,229,0,32,94,112.89362,17515.22757,11.99532,38.33936,-8.58149,5725.13696,"B"
